"","studyID","Case.study","zcor.ECD.LD","var.zcor.ECD.LD","n.replicate.LD","LD.metric","LD.unit","study_type","experiment_type","system","ecosystem","country","exp_duration","litter.species","litter.type","meshsize..mm.","ECD_subcategory","ECD_identity","ECD_mixture","ECD_mixture_identity_type","ECD_intensity_norm_max","ECD_intensity_norm_min","ECD_magnitude","ES_origin","k_rate_imputation_M1","zcor.ECD.LDd","var.zcor.ECD.LDd","n.replicate.LDd"
"11",101,101.1,-0.51876495460604,0.0175438596491228,60,"rate (k)","d-1","observational","field","aquatic","stream","Portugal",28,"Chestnut","broad leaves","5","eutrophication","NH4","yes","stressors, resources",3.13271644845934,-3.65738078705457,6.79009723551391,"Correlation","SD not imputed",NA,NA,NA
"12",119,119.1,0.157989410121141,0.111111111111111,12,"mass loss","%","experimental","laboratory","aquatic","stream","Portugal",1,"Alnus glutinosa","leaf discs",NA,"nutrient enrichment","SRP","no",NA,2.73111547403321,-5.1892834455239,7.92039891955711,"Correlation","SD not imputed",NA,NA,NA
"13",119,119.1,-1.03077420353712,0.111111111111111,12,"mass loss","%","experimental","laboratory","aquatic","stream","Portugal",35,"Alnus glutinosa","leaf discs",NA,"metals","Zn","no",NA,6.16484658886313,-5.1892834455239,11.354130034387,"Correlation","SD not imputed",NA,NA,NA
"14",123,123.1,-0.175894359220997,0.0121951219512195,85,"rate (k)","d-1","observational","field","aquatic","streams","Germany",19,"Alnus glutinosa","broad leaves","0.25","pesticides","pesticide mixture","yes","stressors, resources",0.532587115547503,-1.05664808956908,1.58923520511658,"Correlation","SD not imputed",NA,NA,NA
"15",123,123.1,-0.0860964118610402,0.0140845070422535,74,"rate (k)","d-1","observational","field","aquatic","streams","Germany",19,"Alnus glutinosa","broad leaves","8","pesticides","pesticide mixture","yes","stressors, resources",0.57500693825572,-2.09286456201198,2.6678715002677,"Correlation","SD not imputed",NA,NA,NA
"16",129,129.1,0.22805418117739,0.0103092783505155,100,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",94.5,"Ochroma pyramidale","wood/veneer","10","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"Correlation","SD not imputed",NA,NA,NA
"17",129,129.1,0.569521714674825,0.0103092783505155,100,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",35,"Alnus glutinosa","broad leaves","10","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"Correlation","SD not imputed",NA,NA,NA
"18",129,129.1,0.574514756637783,0.0103092783505155,100,"rate (k)","d-1","experimental","field","aquatic","stream","Portugal",94.5,"Quercus robur","broad leaves","10","nutrient enrichment","NO3","no",NA,-1.13046498721933,-3.6954143445996,2.56494935738027,"Correlation","SD not imputed",NA,NA,NA
"19",157,157.1,0.697447534703529,0.00709219858156028,144,"rate (k)","d-1","observational","field","aquatic","stream","USA",147,"red maple","broad leaves","4","nutrient enrichment","SRP","yes","stressors, resources",-2.14849155765665,-2.95286437332682,0.80437281567017,"Correlation","SD not imputed",NA,NA,NA
"20",180,180.1,-0.824864684656284,0.00980392156862745,105,"rate (k)","d-1","observational","field","aquatic","stream","USA",56,"Acer saccharinum","broad leaves","10","acid mine drainage","Al","yes","stressors",3.60811809746948,0.321583624127462,3.28653447334202,"Correlation","SD not imputed",NA,NA,NA
"21",203,203.1,-1.34071032044787,0.0196078431372549,54,"rate (k)","d-1","observational","field","aquatic","stream","France",27,"Alnus glutinosa","broad leaves","10","eutrophication","NH4","yes","stressors, resources",1.61073507076035,-1.80892597414997,3.41966104491032,"Correlation","SD not imputed",NA,NA,NA
"22",213,213.1,-0.474722808968374,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Fucus vesiculosus","algae cut in 8 cm long fragments","5","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"Correlation","SD not imputed",NA,NA,NA
"23",213,213.1,-0.199218119222792,0.00350877192982456,288,"rate (k)","d-1","observational","field","aquatic","estuary","Portugal",30,"Phragmites australis","broad leaves cut in 8 cm long fragments","5","metals","Hg","yes","stressors",2.00143640728089,-5.1892834455239,7.19071985280479,"Correlation","SD not imputed",NA,NA,NA
"24",215,215.1,0.286667960195335,0.0144927536231884,72,"rate (k)","d-1","observational","field","terrestrial","forest (brownfield)","France",283,"Populus tremula","broad leaves without petioles","5","metals","Pb","yes","stressors",6.30787328773879,0.277801963852074,6.03007132388672,"Correlation","SD not imputed",NA,NA,NA
"25",215,215.1,0.900932372419048,0.0144927536231884,72,"rate (k)","d-1","observational","field","terrestrial","forest (brownfield)","France",283,"Populus tremula","broad leaves without petioles","5","metals","Pb","yes","stressors",6.30787328773879,0.277801963852074,6.03007132388672,"Correlation","SD not imputed",NA,NA,NA
"26",215,215.1,0.949927299488322,0.0144927536231884,72,"rate (k)","d-1","observational","field","terrestrial","forest (brownfield)","France",283,"Populus tremula","broad leaves without petioles","5","metals","Pb","yes","stressors",6.30787328773879,0.277801963852074,6.03007132388672,"Correlation","SD not imputed",NA,NA,NA
"27",252,252.1,-1.61987015782218,0.0666666666666667,18,"mass loss","%","experimental","microcosms","aquatic","stream","Portugal",24,"Alnus glutinosa","leaf discs","0.5","metals","Cd","no",NA,10.0725638825801,-5.1892834455239,15.261847328104,"Correlation","SD not imputed",NA,NA,NA
"28",254,254.1,-0.641154939804932,0.0185185185185185,57,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Germany",21,"Birch","broad leaves","coarse","pesticides","pesticide mixture","yes","stressors, resources",0.566395474920802,-1.43508452528932,2.00148000021012,"Correlation","SD not imputed",NA,NA,NA
"29",275,275.1,1.29927541693441,0.0114942528735632,90,"rate (k)","d-1","observational","field","aquatic","river","Portugal",35,"Alnus glutinosa","broad leaves","0.5","wastewater","SRP","yes","stressors, resources",2.00148000021012,-0.105360515657826,2.10684051586795,"Correlation","SD not imputed",NA,NA,NA
"30",275,275.1,1.71745603432576,0.0114942528735632,90,"rate (k)","d-1","observational","field","aquatic","river","Portugal",35,"Alnus glutinosa","broad leaves","10","wastewater","SRP","yes","stressors, resources",2.00148000021012,-0.105360515657826,2.10684051586795,"Correlation","SD not imputed",NA,NA,NA
"31",279,279.1,-0.177005109601303,0.00680272108843537,150,"rate (k)","%AFDM.d-1","observational","field","aquatic","stream","Spain",58,"Alnus glutinosa","broad leaves","5","eutrophication","SRP","yes","resource",0.588651227843739,-0.785472597727358,1.3741238255711,"Correlation","SD not imputed",NA,NA,NA
"32",289,289.1,-1.07908458255535,0.00564971751412429,180,"rate (k)","d-1","observational","field","aquatic","stream","France",66,"Fagus sylvatica","broad leaves","6","nutrient enrichment","NH4","yes","stressors, resources",0.785270469435751,-0.458707669503884,1.24397813893963,"Correlation","SD not imputed",NA,NA,NA
"33",317,317.1,0.402451217262343,0.0277777777777778,39,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","Finland",21,"Alnus glutinosa","broad leaves","6","pesticides","pesticide mixture","yes","stressors, resources",-0.514005276683371,-1.25276296849537,0.738757691811999,"Correlation","SD not imputed",NA,NA,NA
"34",317,317.2,-0.451052118281448,0.0222222222222222,48,"rate (k) invertebrates","d-1","observational","field","aquatic","stream","France",21,"Alnus glutinosa","broad leaves","6","pesticides","pesticide mixture","yes","stressors, resources",0.902867711542014,-1.25276296849537,2.15563068003738,"Correlation","SD not imputed",NA,NA,NA
